,Area,Job_title,Company,Experience,Salary,Location,Description,Tag assosiated,Posting_date
0,Accounting Jobs,Dy Manager Finance (mis) - Hyderabad,RESOURCE ACCESS MANAGEMENT SOLUTIONS PVT LTD,2-6 Yrs,Not disclosed,Hyderabad, Strong MIS Reporting experience with strong experience in generating excel based manual...,None,17 Days Ago
1,Accounting Jobs,Bookkeeper - Accountant,Accounting Firm,3-5 Yrs,"3,75,000 - 6,00,000 PA.","Hyderabad, Vijayawada", MUST have a minimum of 3 years in core accounting experienceMUST have EXCELLENT English...,None,None
2,Accounting Jobs,Accounting Executive,Accounting People,1-6 Yrs,Not disclosed,Mumbai," Job description Preparation of Balance Sheet and Profit & Loss account , Scrutiny of Ge...",None,15 Days Ago
3,Accounting Jobs,Semi Qualified CA,Accounting People,0-5 Yrs,Not disclosed,Mumbai," Chartered Accountant plan, organize, direct, control and evaluate the operation of fina...",None,15 Days Ago
4,Accounting Jobs,AM- Accounts & Costing- Hosur- Delmonte,FieldFresh Foods Pvt Ltd,8-12 Yrs,Not disclosed,Hosur, Experience,None,2 Days Ago
5,Accounting Jobs,Record To Report-fixed Asset Accounting,Accenture Solutions Pvt Ltd,3-5 Yrs,Not disclosed,Bengaluru, Qualifications: Any Graduation You will be working as a part of Record To Report team w...,None,None
6,Accounting Jobs,Department Head - Accounts & Finance,Mama Mia India,2-7 Yrs,Not disclosed,Kolkata," To be successful in this role, you should have experience crafting financial strategies...",None,2 Days Ago
7,Accounting Jobs,Manager - Finance & Accounts - CA,mPokket,3-5 Yrs,Not disclosed,Kolkata, Requirements : - You have a Bachelors degree in Accounting or related field and are a q...,None,2 Days Ago
8,Accounting Jobs,Department Head - Accounts & Finance,Mama Mia India,9-14 Yrs,Not disclosed,Kolkata," To be successful in this role, you should have experience crafting financial strategies...",None,2 Days Ago
9,Accounting Jobs,Accounts Executive,Sunrise Human Consultancy,1-4 Yrs,Not disclosed,Mumbai," Job Description Candidate should be good knowledge of GST, other taxation, account fina...",None,None
10,Accounting Jobs,Section Manager-Accounts,Morgan Placement and Consultancy,8-13 Yrs,Not disclosed,"Gwalior, morena", Section Manager-Accounts Job Description Basic accounting 1.Tally 2.Knowledge of GST 3....,None,None
11,Accounting Jobs,ACCOUNTANT,hardlandscape constructions pvt.ltd.,1-5 Yrs,Not disclosed,Ahmedabad," Required Skills : B.COM, M.COM ( MALE / FEMALE) Required Experience : MUST HAVE KNOWLED...",None,None
12,Accounting Jobs,PE - ACCOUNTS,Cognizant Technology Solutions India Ltd,2-4 Yrs,Not disclosed,Coimbatore, Job Description - ProcessExecutive Accounts Qualification: B Com / M Com Execution of G...,None,None
13,Accounting Jobs,Officer Accounts,United HR Solutions Pvt Ltd,2-6 Yrs,Not disclosed,Ahmedabad," Qualification : B.Com, M.Com Job Responsibilities : Entry of bank payment through e- ne...",None,None
14,Accounting Jobs,Accounts Executive ,Sunrise Consulting Services,1-5 Yrs,Not disclosed,Mumbai," Candidate should be good knowledge of GST, other taxation, account finalisation, tally ...",None,None
15,Accounting Jobs,Accounting Intern,Stanley Black Decker India Ltd.,1-2 Yrs,Not disclosed,Delhi, JOB SUMMARY The successful candidate who performs well in this role will have growth op...,None,None
16,Accounting Jobs,Accounts Executive/Sr Executive,Rave Technologies (India) Pvt Ltd,2-7 Yrs,Not disclosed,Mumbai, Role Summary: Responsible for In Depth working knowledge of Accounts Payable/Receivable...,None,None
17,Accounting Jobs,OTC - Accounts Receivable (Senior Executive / Executive),Rave Technologies (India) Pvt Ltd,2-5 Yrs,Not disclosed,Mumbai, Job Description Education: Post Graduate (B.Com / Honours) or a Bachelors degree with r...,None,None
18,Accounting Jobs,Sr Accounts Payable Executive,Rave Technologies (India) Pvt Ltd,2-4 Yrs,Not disclosed,Mumbai, Role Summary: Responsible for In Depth working knowledge of Accounts Payable/Receivable...,None,None
19,Accounting Jobs,Accounts Lead ,Property Angel,3-7 Yrs,Not disclosed,Bengaluru," We are looking for a bright, well - spoken, well organized, accounts executive. You wil...",None,2 Days Ago
20,Accounting Jobs,Chartered Accountant /RBI Regulation / Regulatory Reporting /Treasury,Teamware Solutions ( A division of Quantum Leap Consulting Private LTD).,1-5 Yrs,"5,00,000 - 10,00,000 PA.",Mumbai, Preference is for somebody who has done audit or worked in the with 1-3 years experienc...,None,2 Days Ago
21,Interior Design Jobs,Interior Designer,FLOOR & FURNISHINGS INDIA PRIVATE LIMITED,2-5 Yrs,"2,00,000 - 5,00,000 PA.","Delhi NCR, Gurgaon", Required Candidate profile,"soft furnishing, Retail Sales, client presentation, store sales, Design Consultant, interior decorator, Freelance Interior Designer, interior designer",8 Days Ago
22,Interior Design Jobs,Interior Designer Required Under PR Visa Australia,Comet Advisor,2-5 Yrs,"45,00,000 - 90,00,000 PA.","Canada, Australia", Interior designers read blueprints and must be aware of building codes and inspection r...,"Design, Interior Architecture, interior designer+textile designer, client presentation, furniture designing, interior decorator, interior architect, Electrical Layouts",11 Days Ago
23,Interior Design Jobs,Architects interested in Interior designing,MakeMyCasa.com,1-3 Yrs,Not disclosed,Mumbai, Capture the essence of design briefs by the clients Provide appropriate design solution...,"Architecture, Interior designing",8 Days Ago
24,Interior Design Jobs,Head of Department - Interior Design Contracting Division,The BNK Group,10-15 Yrs,Not disclosed,Mumbai(Fort), Handling Turnkey HNI Residential & Hospitality Clients Manage a team and handle upto 10...,"estimation, senior management, residential, boq, team handling, hospitality, fast track, autocad",8 Days Ago
25,Interior Design Jobs,Senior Interior Designer,Dreamspaze interiors,2-5 Yrs,"3,50,000 - 4,25,000 PA.",Bengaluru(Indra Nagar), Experience : 3 years to 5 years in Architecture and Interior DesigningGood communicatio...,"3ds max, vray, google sketchup, rendering, Photoshop, autocad, architecture",8 Days Ago
26,Interior Design Jobs,Interior designer,Kamal Buildtech Private Limited,1-4 Yrs,Not disclosed,Delhi, Job description Specializes in residential interior designing. Knowledge of materials a...,Interior designer,9 Days Ago
27,Interior Design Jobs,Interior Designer / Senior Interior Designer,Morphogenesis,1-4 Yrs,Not disclosed,Mumbai, Experience : 1 to 8 years As an Interior Designer at Morphogenesis; you will be working...,"Construction, Architecture, AutoCAD, Concept development, MEP, Budgeting, Photoshop, MS Office",11 Days Ago
28,Interior Design Jobs,Interior Designer,LOGIN WOOD,0-3 Yrs,Not disclosed,Pune, 1) Good Communication and Analytical Skills 2) Able to understand and formulate design ...,"Procurement, Analytical skills, Custom clearance, Payment processing, AutoCAD, Material selection, Production department, Management",9 Days Ago
29,Interior Design Jobs,Interior Designer,Career Choice Solution,3-5 Yrs,Not disclosed,Mumbai, We Are Hiring For Interior Designer & Design Head For Residential Interior Project. Res...,"AutoCAD, Google Sketchup, Architectural design, Management, Interior designing, Design Head, Design Lead",12 Days Ago
30,Interior Design Jobs,Interior Designer,Gruhlaxmi Lifespaces Pvt. Ltd.,2-3 Yrs,Not disclosed,"Nagpur, Mumbai", Degree / Diploma in interior designing from a reputed institute is a mustGood knowledge...,"working drawings, interior designing, residential, design, real estate, design principles, technical skills, Interior Designer",12 Days Ago
31,Interior Design Jobs,Visualizer 3D( Interior Designer & Exterior Designer ),Hive Obsession,1-3 Yrs,"2,00,000 - 3,00,000 PA.","Delhi NCR, Gurgaon"," Experience in architectural, exterior & interior visualization preferredproficient in m...","3d modeling, 3ds max, interior designing, visualiser, vray, texturing, CAD, rendering",12 Days Ago
32,Interior Design Jobs,Manager / Senior Manager Interior Design (female),KHAZANA GROUP,5-10 Yrs,"5,00,000 - 8,00,000 PA.",Hyderabad," Job Description: Candidate with 5 to 10 years of experience, with a Modular Furniture F...","client presentation, Design Consultant, furniture designing, Senior Management, interior designer, Concept Design, Interior Designing, space planning",14 Days Ago
33,Interior Design Jobs,Hiring For Interior Designer,Bharathire.com Private Limited,3-8 Yrs,Not disclosed,Pune(Viman Nagar), Dear candidates Greetings of the day We are hiring for an Interior Designer for a renow...,"furniture decorator, revit structure, interior decorator, VRAY, 3Ds Max, Interior Designing",7 Days Ago
34,Interior Design Jobs,Interior Designer - Apply Under PR Visa For Australia,Collabs Immigration,3-8 Yrs,Not disclosed,"Canada, Australia", If you are interested email us your CV at info@collabs.in Age - 18yrs & above .Experien...,"senior furniture designing, Interior Architecture, Engineer, Architecture, Decorators, Senior Interior Designer, Interior Decoration, Interior Designer",13 Days Ago
35,Interior Design Jobs,Sr. Interior Designer,Solution Box,4-9 Yrs,"3,50,000 - 8,50,000 PA.",Jaipur, Presentation skills to educate about brands sensibility & Create mood-boards & proposal...,"3ds max, sketching, furniture, interior architecture, interior decorator, luxury, rendering, interior designer project manager",4 Days Ago
36,Interior Design Jobs,Interior Designer Intern,Fulldecor.in,0-1 Yrs,Not disclosed,"Delhi NCR(Ajmeri gate), Delhi", Work from home is available till lockdown 6000 as a stipend,work from home,8 Days Ago
37,Interior Design Jobs,Junior Architect - Interior Design - Hospitality,Belhem Hospitality,2-7 Yrs,Not disclosed,Delhi, B Arch from a reputed institute with 2 to 3 years of work experience OR Diploma in Arch...,"Design Architect, Architectural Drawing, AutoCAD, Interior Design",8 Days Ago
38,Interior Design Jobs,Interior Designer- Dwarka Location-delhi,NIKOS CONSULTING PRIVATE LIMITED,10-15 Yrs,Not disclosed,Delhi," Designs interior spaces, including permanent architectural details and temporary elemen...","Design, Architecture, commercial project architecture, Interior Designing",3 Days Ago
39,Interior Design Jobs,Interior Designer,Windows Consultants Pvt. Ltd.,4-9 Yrs,Not disclosed,Delhi, Must have handled projects for High Net worth clientsMust have experience in Should be ...,"interior designing, modular designing, residential, modular furniture designing, furniture designing, design, client relationship, client management",15 Days Ago
40,Interior Design Jobs,Interior Design Faculty,AARTREUM,3-5 Yrs,Not disclosed,Hyderabad, Roles and Responsibilities: Experienced with good teaching skill preferred. Knowledge i...,"AutoCAD, Interior decoration, CAD, REVIT, Research, Interior designing, 3DSmax, Teaching",30+ Days Ago
41,Bank Jobs,Key Accounts Manager | Coimbatore | Indusind Bank,INDUSIND BANK LIMITED,4-6 Yrs,"4,00,000 - 5,50,000 PA.",Coimbatore, Prior sales experience of min 4 - 6 years in Banking / NBFC/Insurance is mandatory,"Customer Service, Sales, Mutual Funds, Life Insurance, Cross Selling, Key Accounts, Finance, Banking",9 Days Ago
42,Bank Jobs,Indusind Bank - Banking Partner NR Business Mumbai,INDUSIND BANK LIMITED,4-8 Yrs,"12,00,000 - 16,00,000 PA.","Mumbai Suburbs, Navi Mumbai, Mumbai", Should be well versed with,"NRI Relationship Manager, bfsi, Relationship Management, financial services, banking",6 Days Ago
43,Bank Jobs,Recovery Officer - Kottayam - ESAF Small Finance Bank,ESAF Small Finance Bank limited,1-2 Yrs,"2,00,000 - 3,00,000 PA.",Kottayam, Should be reguler degree graduate (Distance degree will not accepted)overdue more than ...,"bucket, recovery executive, Compliance, Finance, Banking, collection executive, Collections, Recovery",8 Days Ago
44,Bank Jobs,Officers & Assistant Manager -  Sales - ESAF Small Finance Bank,ESAF Small Finance Bank limited,1-5 Yrs,"2,00,000 - 5,00,000 PA.",Hyderabad, Graduation (regular) or PG in any discipline with 2+ years of sales Experience in any o...,"Customer Relationship, Casa Sales Officer, saving accounts, Retail Liabilities, current accounts",14 Days Ago
45,Bank Jobs,Sales Officer -assistant Manager  ESAF Small Finance Bank,ESAF Small Finance Bank limited,1-5 Yrs,"2,00,000 - 5,00,000 PA.","Palakkad, Wayanad, Malappuram", Graduation (regular) or PG in any discipline with 2+ years of sales Experience in any o...,"Customer Relationship, Casa Sales Officer, saving accounts, Retail Liabilities, current accounts",14 Days Ago
46,Bank Jobs,Opening For Sales Officers at Pune( Banking Domain),Microlucid Technology Pvt Ltd,0-3 Yrs,Not disclosed,Pune(Baner), Don't let the Lockdown Period stop you from getting a job!Candidates from Banking Sales...,"Selling, insurance sales, financial sales, Personal Loans, telecom sales, Sales Executive Activities, Banking Sales",2 Days Ago
47,Bank Jobs,Relationship Manager - Banking,VENPA STAFFING SERVICES INDIA PRIVATE LIMITED,3-7 Yrs,Not disclosed,"Pune, Mumbai", NISM Certified (MF Certification) & IRDA ( Life Insurance Certification) preferred Shou...,"Mutual Funds, IRDA, Life Insurance, Relationship Management, Finance, Insurance Sales, Banking, HR Administration",11 Days Ago
48,Bank Jobs,Deputy Branch Manager | Indusind Bank | Bhuntar,INDUSIND BANK LIMITED,4-8 Yrs,"5,00,000 - 7,00,000 PA.",Kullu/Manali, Responsible for maintenance / reconciliation of Clearing Accounts / NOSTRO Accounts / B...,"Banking Operations, customer service",None
49,Bank Jobs,"Deputy Branch Manager | Indusind Bank | Pehowa,haryana",INDUSIND BANK LIMITED,4-8 Yrs,"4,00,000 - 7,00,000 PA.",Kurukshetra, Responsible for maintenance / reconciliation of Clearing Accounts / NOSTRO Accounts / B...,"Banking Operations, customer service",None
50,Bank Jobs,"Deputy Branch Manager | Indusind Bank | Solan , Dharamshala",INDUSIND BANK LIMITED,5-8 Yrs,"5,00,000 - 7,50,000 PA.",Baddi, Responsible for maintenance / reconciliation of Clearing Accounts / NOSTRO Accounts / B...,"Banking Operations, customer service",None
51,Bank Jobs,Branch Manager - RBL Bank - Hoskote and Rajaji Nagar Branch,RBL Bank Limited,6-11 Yrs,"14,00,000 - 18,00,000 PA.",Bengaluru, More than 5 / 6+ yrs experience requiredRequired Skills - Candidate should be working a...,"Branch Management, Sales Operations, Branch, Banking, branch manager, bm, Branch Handling",4 Days Ago
52,Bank Jobs,"Deputy Branch Manager | Indusind Bank | Baroda, Ahmedabad",INDUSIND BANK LIMITED,5-8 Yrs,"5,00,000 - 9,00,000 PA.","Vadodara, Ahmedabad", Responsible for maintenance / reconciliation of Clearing Accounts / NOSTRO Accounts / B...,"Banking Operations, customer service",5 Days Ago
53,Bank Jobs,Digital Banking Ambassador- Relationship Officer,RBL Bank Limited,1-3 Yrs,Not disclosed,"Delhi, Noida, Gurgaon"," Required Candidate profileSelling Skills, Good Communication Skills, Quick learner, Bas...","casa, fixed deposits, kyc, credit cards, cross sell, customer engagement, upsell, banking products",8 Days Ago
54,Bank Jobs,Relationship Manager - Corporate Sales - Bank,StepUpFind,2-6 Yrs,Not disclosed,Surat, Job Details:- - Maintaining relationship with existing corporate and acquisition of new...,"Corporate Salary, Account Opening, Portfolio Management, Cross Selling, Relationship Management, Finance, Banking, Financial Products",2 Days Ago
55,Bank Jobs,Agency Manager - Wealth Manager/ Senior Wealth Manager - Bank,Concentrus,1-5 Yrs,Not disclosed,"Ludhiana, Amritsar,  Punjab", Qualification: Graduate or MBA Should possess the required in-depth domain knowledge of...,"Wealth Management, Sales, New Client Acquisition, Cross Selling, Finance, Banking, Financial Planning, HNI Client Handling",2 Days Ago
56,Bank Jobs,Relationship Manager - SCM - Corporate Banking,People Tree Consultants,1-4 Yrs,Not disclosed,Mumbai, Looking for SCM Relationship Manager - Corporate Banking with a leading private sector ...,"Cash Management Services, Liability Products, Credit Approval, Business Solutions, Foreign Exchange, Credit Risk Management, Cross Selling, Relationship Management",2 Days Ago
57,Bank Jobs,Executive - Demat Account Sales - Bank,DataGroup Geospatial Technologies Pvt. Ltd.,1-3 Yrs,Not disclosed,Gurgaon," Full Time BBA, BCom, BA, BSc, MBA-Finance, M Com, PGDM/ MBA- Finance 6 Days a week (11:...","MCOM, Mba Finance, Account Opening, Direct Sales, Relationship Management, Banking, Trading, Cold Calling",2 Days Ago
58,Bank Jobs,Corporate Banking /wholesale Banking-trade Finance Processing,Accenture Solutions Pvt Ltd,3-5 Yrs,Not disclosed,Chennai, Please note that this role may require you to work in rotational shiftsQualifications: ...,"Service delivery, Senior Analyst, Trade finance, Wholesale banking, Banking, Corporate, Transaction processing, professional services",None
59,Bank Jobs,Associates ? Investment Banking,Amba Research,1-4 Yrs,Not disclosed,Gurgaon, Acuity Knowledge Partners | Associates Investment Banking Associates Investment Banking...,"BPO, Mining, Telecom, Ratio analysis, Bloomberg, Financial analysis, Relationship building, Healthcare",3 Days Ago
60,Bank Jobs,Wanted Freshers in Private Banks,PVR India,0-1 Yrs,"2,25,000 - 3,75,000 PA.","Chennai, Coimbatore", Gender: Male and femaleJob type: FULL TIME / ON ROLL(permanent job)Qualification: Any d...,"Sales, Finance, Banking, Marketing",3 Days Ago
61,Content Writing Jobs,Intern - Content Writing,Innobuzz Learning Solutions,0-1 Yrs,Not disclosed,Delhi, Content Writer Fresher,"Content Management, Intern, Proofreading, Content Development, Blogging, Content Writing, Editorial",2 Days Ago
62,Content Writing Jobs,Content Writing Intern,DriveIT Digital,0-1 Yrs,Not disclosed,Noida," Desired Candidate Profile The candidate must have written & communication skills, knows...","Press release, Article writing, Intern, Blog writing, Content writing, HR",2 Days Ago
63,Content Writing Jobs,Intern - Content Writing - Social Media Domian - Kofluence,Kofluence,0-1 Yrs,Not disclosed,Bengaluru, About the Internship : Selected interns day-to-day responsibilities include : Create an...,"Content Management, Intern, Social Media, Content Development, Content Writing",10 Days Ago
64,Content Writing Jobs,Intern - Content Writing & SEO,GetMyuni,0-1 Yrs,Not disclosed,Bengaluru, Are available for full time (in-office) internship Can start the internship between 17t...,"Google Trends, Google Analytics, Keyword Analysis, Articles, Semrush, Digital Marketing, Social Media Marketing, Creative Content",2 Days Ago
65,Content Writing Jobs,CONTENT WRITING INTERN,Ajatus,0-1 Yrs,Not disclosed,Bhubaneshwar, We are looking for people willing to work on-site in our office Description: Gain exper...,"Health insurance, Provident fund, Social media, Content writing, EPF, Content editing, content marketing, Fact",2 Days Ago
66,Content Writing Jobs,Content Writing ,ThreeSpades Media,0-4 Yrs,Not disclosed,Chennai, Job Description The ideal candidate should have skill of producing content that increas...,"Publishing, Product service, Production, Manager Technology, Content writing, Web content",3 Days Ago
67,Content Writing Jobs,Content Writing,Englishonphone.com,0-3 Yrs,Not disclosed,Bengaluru, ? Area of writing: Beauty ? A minimum of 2 years of experience as a content writer. ? E...,Content writing,6 Days Ago
68,Content Writing Jobs,Content Writing,Cogmac Technologies,0-3 Yrs,Not disclosed,Noida, ? Area of writing: Beauty ? A minimum of 2 years of experience as a content writer. ? E...,Content writing,9 Days Ago
69,Content Writing Jobs,Content Writing,SCOPIDEA,2-7 Yrs,Not disclosed,Noida, Experience: 0 2 yrs Skill: We are looking for candidates with a creative bend of mind w...,"Project management, Agile, Content writing, Document management, Research, Proof reading",11 Days Ago
70,Content Writing Jobs,Content Creator/web Content Writer,Advids.co,0-3 Yrs,Not disclosed,Pune, Desired Candidate Profile : - A graduate with a good command over the English languageR...,"Proofreading, Content Development, Blogging, Web Content Writer, Content Writing, Editorial, Content Creator",2 Days Ago
71,Content Writing Jobs,"Content Writer - NSEZ Phase II, Noida",ProProfs.com,1-3 Yrs,Not disclosed,"Delhi NCR, Noida", We are looking to hire smart web content writers with a minimum of a years experienceHe...,"Creative Writing, blogs, web content writing, content editing, seo writing, Content Writer, articles, Content Writing",None
72,Content Writing Jobs,Content Developer / Writer,Excelus Learning Solutions,1-6 Yrs,Not disclosed,Bengaluru, Should have minimum 1 yr prior experience in content writing/development Excellent comm...,"Analytical skills, E-learning, Article writing, Electronics, Web content management, Content writing, Creative writing, Research",3 Days Ago
73,Content Writing Jobs,Expert Content writer,ET Solutions Inc,1-5 Yrs,Not disclosed,Delhi NCR, Work from home / Remote employment / freelance employmentWork from home positionShould ...,"work from home, freelance",12 Days Ago
74,Content Writing Jobs,Senior Content Writer - Accounting/finance,Sourcedesk Global Private Limited,3-7 Yrs,"2,00,000 - 4,00,000 PA.",Kolkata, We pride ourselves on providing quality service that is results-oriented as well as our...,"work from home, freelance",15 Days Ago
75,Content Writing Jobs,Content Writer- Urgent Hiring,ASHPLAN PRIVATE LIMITED,0-4 Yrs,"2,50,000 - 6,00,000 PA.",Gurgaon," An academic degree (Bachelors, preferably a Masters) in Marketing, Communications, Medi...","content editing, copy writer, media, public relations, proof reading, content development, blogs writing, copywriting",11 Days Ago
76,Content Writing Jobs,Content Writer (language - Gujarati & Telugu & Tamil),RANDSTAD INDIA PVT LTD,1-6 Yrs,"3,00,000 - 4,00,000 PA.",Noida, Shift timings - 8:00 am -4:00 pm & 4:00 pm -11:00 pm (drop facility for 11:00 pm only) ...,"Telugu, telugu content editor, Gujarati, telugu creative writer, telugu content developer, telugu content writer, gujarati creative content, gujarati creative writing",15 Days Ago
77,Content Writing Jobs,Content Writer - BFSI,K & R Enterprises,3-8 Yrs,Not disclosed,Gurgaon, Vacancies for Content Writers up to 3 year experience),"Content Management, Content Development, Content Writing",2 Days Ago
78,Content Writing Jobs,Content Writer,ayiruS HR services,3-4 Yrs,Not disclosed,Hyderabad," Should be good at writing content for Blogs, Quora and client websites Should be profic...","Pharma, Banking, SEO writing, Content writing, Creative writing",None
79,Content Writing Jobs,Opening For Content Writer || Gurgaon,Binary Semantics Limited,2-3 Yrs,Not disclosed,Gurgaon, Position: Freelance Creative Content WriterExperience in doing research as per the best...,"creative writing, creative content analyst, technical writing, Content Writing, content writing analyst, creative content, creative writing analyst",2 Days Ago
80,Content Writing Jobs,Content Writer,DigiLantern,2-3 Yrs,Not disclosed,Noida, Must have worked for Digital Marketing & Social Media Experience in writing creative an...,"Proofreading, Content Development, Content Writing, Editorial",2 Days Ago
81,Consultant Jobs,Strategy Consultant,Franchise India Holdings Ltd,6-11 Yrs,Not disclosed,"Chennai, Delhi NCR, Bengaluru", 1. Work with Clients in analyzing their business systems and make recommendations relat...,"secondary research, strategy consulting, feasibility studies, buisness advisory strategy, business plan development, business analysis, strategy expansion, business studies",14 Days Ago
82,Consultant Jobs,Real Estate Consultant -maduravoyal,Hanu Reddy Realty India Pvt.Ltd.,0-4 Yrs,Not disclosed,Chennai(Maduravoyal), The ideal candidate must have the following qualities: 1) Strong interpersonal skills a...,"Training, Major, Induction, Real Estate, Interpersonal Skills",7 Days Ago
83,Consultant Jobs,"Real Estate Consultant - OMR, Chennai",Hanu Reddy Realty India Pvt.Ltd.,0-4 Yrs,Not disclosed,Chennai(OMR), The ideal candidate must have the following qualities: 1) Strong interpersonal skills a...,"Training, Major, Induction, Real Estate, Interpersonal Skills",7 Days Ago
84,Consultant Jobs,Real Estate Consultant - GST Chennai,Hanu Reddy Realty India Pvt.Ltd.,0-4 Yrs,Not disclosed,Chennai(GST Road), The ideal candidate must have the following qualities: 1) Strong interpersonal skills a...,"Training, Major, Induction, Real Estate, Interpersonal Skills",7 Days Ago
85,Consultant Jobs,Real Estate Consultant - Chennai,Hanu Reddy Realty India Pvt.Ltd.,0-4 Yrs,Not disclosed,Chennai, The ideal candidate must have the following qualities: 1) Strong interpersonal skills a...,"Training, Major, Induction, Real Estate, Interpersonal Skills",5 Days Ago
86,Consultant Jobs,Real Estate Consultant - Vizag,Hanu Reddy Realty India Pvt.Ltd.,0-4 Yrs,Not disclosed,Visakhapatnam, The ideal candidate must have the following qualities: 1) Strong interpersonal skills a...,"Training, Major, Induction, Real Estate, Interpersonal Skills",7 Days Ago
87,Consultant Jobs,Real Estate Consultant - Hyderabad,Hanu Reddy Realty India Pvt.Ltd.,0-4 Yrs,Not disclosed,Hyderabad, The ideal candidate must have the following qualities: 1) Strong interpersonal skills a...,"Training, Major, Induction, Real Estate, Interpersonal Skills",7 Days Ago
88,Consultant Jobs,Real Estate Consultant - Adyar,Hanu Reddy Realty India Pvt.Ltd.,0-4 Yrs,"1,00,000 - 5,00,000 PA.",Chennai(Adyar), The ideal candidate must have the following qualities: 1) Strong interpersonal skills a...,"Training, Major, Induction, Real Estate, Interpersonal Skills",7 Days Ago
89,Consultant Jobs,Strategy Consultant,Franchise India Holdings Ltd,5-10 Yrs,Not disclosed,"Pune, Mumbai, Hyderabad", 1. Work with Clients in analyzing their business systems and make recommendations relat...,"secondary research, strategy consulting, feasibility studies, buisness advisory strategy, business plan development, business analysis, strategy expansion, business studies",14 Days Ago
90,Consultant Jobs,Freelancer (manday Consultant) - Line Pipe Inspection,Tata Projects Limited,10-20 Yrs,Not disclosed,Gandhidham, We have immediate requirement for Manday Consultant with below requirementsExperience: ...,freelance,14 Days Ago
91,Consultant Jobs,Real Estate Consultant - Coimbatore,Hanu Reddy Realty India Pvt.Ltd.,0-4 Yrs,Not disclosed,Coimbatore, The ideal candidate must have the following qualities: 1) Strong interpersonal skills a...,"Training, Major, Induction, Real Estate, Interpersonal Skills",24 Days Ago
92,Consultant Jobs,Real Estate Consultant - Mysore,Hanu Reddy Realty India Pvt.Ltd.,0-4 Yrs,Not disclosed,Mysore, The ideal candidate must have the following qualities: 1) Strong interpersonal skills a...,"Training, Major, Induction, Real Estate, Interpersonal Skills",24 Days Ago
93,Consultant Jobs,Real Estate Consultant - Pune,Hanu Reddy Realty India Pvt.Ltd.,1-6 Yrs,Not disclosed,Pune, The ideal candidate must have the following qualities: 1) Strong interpersonal skills a...,"Major, Real Estate, Interpersonal Skills",24 Days Ago
94,Consultant Jobs,Consultant-( Valuation),Pentagram Consulting Private Limited,5-8 Yrs,Not disclosed,Gurgaon," About Client: Our client is one of the leading Big 4 Consulting Company, offers a full ...","Merger Market, Captial IQ, Bloomberg, Factiva",30+ Days Ago
95,Consultant Jobs,Freelancer (manday Consultant) - Structural or  Welding Inspector,Tata Projects Limited,8-13 Yrs,Not disclosed,"Delhi NCR, Bhopal", We have immediate requirement for Manday Consultant with below requirementsExperience: ...,"structural inspection, Welding, Third Party Inspection, Heat Exchangers, Storage Tanks, ASNT Level II, Pressure Vessels, Structural Fabrication",21 Days Ago
96,Consultant Jobs,Construction Supervisor - GCC Driving Licence Mandatory,Sofomation Energy Consultants Pvt. Ltd,8-13 Yrs,Not disclosed,Qatar, Commissioning candidates do not apply Only Construction side guys can apply,"oil, Instrument Supervisor, mechanical superintendent, construction supervision, Construction Superintendent, gas, Electrical Superintendent, Electrical Supervisor",7 Days Ago
97,Consultant Jobs,Senior Business Development Executive,Sushrut Pharma chem,5-10 Yrs,Not disclosed,Mumbai(Badlapur (East))," It would not be a full time job, the work would be on project basis onlyThe above amoun...","aroma speciality chemicals, aroma fine chemicals, Senior Business Development Consultant, Business Development Consultant, aroma chemicals",4 Days Ago
98,Consultant Jobs,Head - Incubation Cell,Sharda educational trust,12-15 Yrs,"13,00,000 - 15,00,000 PA.",Greater Noida, in the institute to incubate budding Start-ups at different levels of the entrepreneuri...,"launchpad, entrepreneurship development, startup, incubation, consulting, startup support, incubation cell, entrepreneurial cell",10 Days Ago
99,Consultant Jobs,Fundraising Manager,Seven Consultancy,4-8 Yrs,Not disclosed,Hyderabad," JOB DETAILS 1.Conducting research on fundraising opportunities. 2. Writing, submitting ...","Promotional campaigns, Networking, Consultancy, Research, Management, Fund raising, Recruitment",12 Days Ago
100,Consultant Jobs,Coordinator,Paras Holidays Pvt Ltd,2-4 Yrs,Not disclosed,Delhi, Job Description Managing the day- to- day operations delegated by Director Ability to m...,Coordinator (2-4 Year Experience).,14 Days Ago
101,Engineering Jobs,Trainee Engineer Mechanical  -  CAE,STREBEN Engineering Solutions,2-5 Yrs,Not disclosed,Bengaluru, Job Description: Selected candidates will undergo intensive industry focused training o...,"Training, Engineer Engineering, Engineering Design, Project execution, Mechanical Engineer",9 Days Ago
102,Engineering Jobs,Structural Engineer [5 To 7 Years of Experience],Bhagwan Engineering Works,5-7 Yrs,"2,00,000 - 3,00,000 PA.",Paradeep, The candidate must be able to provide relevant analysis on the sameIn depth knowledge o...,"Design, Engineering, Construction, Structural Engineering, ship building, AutoCAD, Shipping, draftsman",3 Days Ago
103,Engineering Jobs,Process Engineer,IFluids Engineering,2-5 Yrs,Not disclosed,Delhi, Analyze work flows within and across all departments to determine how the entire compan...,Process Engineer New Delhi,8 Days Ago
